id,stress_type,input_text,ground_truth_summary,critical_facts,llm_summary
11,normal,Wire transfers submitted before 4:00 PM ET are processed the same business day.,Wire transfers submitted before 4:00 PM ET are processed the same business day.,4:00 PM ET cutoff,Wire transfers submitted before 4:00 PM ET are processed the same business day.
12,normal,Wire transfers submitted before 4:00 PM ET are processed the same business day.,Wire transfers submitted before 4:00 PM ET are processed the same business day.,4:00 PM ET cutoff,Wire transfers submitted before 4:00 PM ET are processed the same business day.
13,normal,The account offers a 4.25% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,The account offers a 4.25% APY and requires a minimum balance of $500.,4.25% APY; $500 minimum balance,The account offers a 4.25% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.
14,normal,Wire transfers submitted before 4:00 PM ET are processed the same business day.,Wire transfers submitted before 4:00 PM ET are processed the same business day.,4:00 PM ET cutoff,Wire transfers submitted before 4:00 PM ET are processed the same business day.
15,normal,The account offers a 5.1% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,The account offers a 5.1% APY and requires a minimum balance of $500.,5.1% APY; $500 minimum balance,The account offers a 5.1% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.
16,normal,The account offers a 3.5% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,The account offers a 3.5% APY and requires a minimum balance of $500.,3.5% APY; $500 minimum balance,The account offers a 3.5% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.
17,normal,The account offers a 4.25% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.,The account offers a 4.25% APY and requires a minimum balance of $2500.,4.25% APY; $2500 minimum balance,The account offers a 4.25% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.
18,normal,Wire transfers submitted before 4:00 PM ET are processed the same business day.,Wire transfers submitted before 4:00 PM ET are processed the same business day.,4:00 PM ET cutoff,Wire transfers submitted before 4:00 PM ET are processed the same business day.
19,normal,The account offers a 5.1% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.,The account offers a 5.1% APY and requires a minimum balance of $2500.,5.1% APY; $2500 minimum balance,The account offers a 5.1% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.
20,normal,The account offers a 4.75% APY. Customers must maintain a minimum balance of $25000 to earn the disclosed APY.,The account offers a 4.75% APY and requires a minimum balance of $25000.,4.75% APY; $25000 minimum balance,"The account offers a 4.75% APY. Customers must maintain a minimum balance of $25,000 to earn the disclosed APY."
21,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and details about the promotional period are not provided.
22,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
23,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.
24,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.
25,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
26,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
27,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
28,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
29,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
30,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
31,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
32,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.
33,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
34,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
35,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
36,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and details about the promotional period are not provided.
37,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
38,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.
39,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.
40,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.
41,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration of the promotion, and any conditions are not provided."
42,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided."
43,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided."
44,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration of the promotion, and any conditions are not provided."
45,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided."
46,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided."
47,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
48,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
49,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided."
50,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
51,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided."
52,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
53,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration of the promotion, and any conditions are not provided."
54,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided."
55,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY rate, duration, or conditions are provided."
56,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration of the promotion, and any conditions are not provided."
57,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
58,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
59,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided."
60,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.
61,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
62,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
63,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
64,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
65,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
66,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
67,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
68,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
69,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
70,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
71,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
72,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
73,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.
74,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
75,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
76,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
77,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
78,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
79,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
80,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.
81,jargon,Acct holders must maintain a min DDB of $25000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $25000 to earn the APY.,$25000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $25,000 to earn the disclosed annual percentage yield (APY)."
82,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
83,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
84,jargon,Acct holders must maintain a min DDB of $25000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $25000 to earn the APY.,$25000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $25,000 to earn the disclosed annual percentage yield (APY)."
85,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
86,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
87,jargon,Acct holders must maintain a min DDB of $1000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $1000 to earn the APY.,$1000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $1,000 to earn the disclosed annual percentage yield (APY)."
88,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
89,jargon,Acct holders must maintain a min DDB of $2500 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $2500 to earn the APY.,$2500 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $2,500 to earn the disclosed annual percentage yield (APY)."
90,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
91,jargon,Acct holders must maintain a min DDB of $10000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $10000 to earn the APY.,$10000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $10,000 to earn the disclosed annual percentage yield (APY)."
92,jargon,Acct holders must maintain a min DDB of $2500 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $2500 to earn the APY.,$2500 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $2,500 to earn the disclosed annual percentage yield (APY)."
93,jargon,Acct holders must maintain a min DDB of $10000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $10000 to earn the APY.,$10000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $10,000 to earn the disclosed annual percentage yield (APY)."
94,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
95,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
96,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
97,jargon,Acct holders must maintain a min DDB of $25000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $25000 to earn the APY.,$25000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $25,000 to earn the disclosed annual percentage yield (APY)."
98,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
99,jargon,Acct holders must maintain a min DDB of $2500 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $2500 to earn the APY.,$2500 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $2,500 to earn the disclosed annual percentage yield (APY)."
100,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.
101,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 1.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 1.25% APY that may change after account opening and requires a minimum balance of $500. Paper statements cost $3 per month.,1.25% APY; rates may change; $500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 1.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.
102,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.75% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 4.75% APY that may change after account opening and requires a minimum balance of $500. Paper statements cost $3 per month.,4.75% APY; rates may change; $500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.75% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.
103,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 4.25% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,4.25% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.
104,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,4:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.
105,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 5.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 5.1% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,5.1% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 5.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.
106,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $10000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 3.5% APY that may change after account opening and requires a minimum balance of $10000. Paper statements cost $3 per month.,3.5% APY; rates may change; $10000 minimum balance; $3 paper statement fee,"Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $10,000 to earn the disclosed APY. Paper statements cost $3 per month."
107,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 2.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 2.1% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,2.1% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 2.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.
108,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,5:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.
109,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,5:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.
