id,stress_type,input_text,ground_truth_summary,critical_facts,llm_summary,fact_recall,completeness_score,hallucination_flag
15,normal,The account offers a 5.1% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,The account offers a 5.1% APY and requires a minimum balance of $500.,5.1% APY; $500 minimum balance,The account offers a 5.1% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,1.0,2,0
16,normal,The account offers a 3.5% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,The account offers a 3.5% APY and requires a minimum balance of $500.,3.5% APY; $500 minimum balance,The account offers a 3.5% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,1.0,2,0
17,normal,The account offers a 4.25% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.,The account offers a 4.25% APY and requires a minimum balance of $2500.,4.25% APY; $2500 minimum balance,The account offers a 4.25% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.,1.0,2,0
18,normal,Wire transfers submitted before 4:00 PM ET are processed the same business day.,Wire transfers submitted before 4:00 PM ET are processed the same business day.,4:00 PM ET cutoff,Wire transfers submitted before 4:00 PM ET are processed the same business day.,0.0,0,1
19,normal,The account offers a 5.1% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.,The account offers a 5.1% APY and requires a minimum balance of $2500.,5.1% APY; $2500 minimum balance,The account offers a 5.1% APY. Customers must maintain a minimum balance of $2500 to earn the disclosed APY.,1.0,2,0
20,normal,The account offers a 4.75% APY. Customers must maintain a minimum balance of $25000 to earn the disclosed APY.,The account offers a 4.75% APY and requires a minimum balance of $25000.,4.75% APY; $25000 minimum balance,"The account offers a 4.75% APY. Customers must maintain a minimum balance of $25,000 to earn the disclosed APY.",1.0,2,0
21,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.,0.5,1,0
22,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
23,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.,0.5,1,0
24,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.,0.5,1,0
25,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
26,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
27,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
28,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
29,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
30,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
31,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
32,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and details about the promotional period are not provided.,0.5,1,0
33,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
34,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
35,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
36,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.,0.5,1,0
37,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
38,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and the promotional period are not provided.,0.5,1,0
39,ambiguous,Fees could apply depending on account activity.,"Account fees may apply depending on account activity, but specific conditions are not provided.",fees may apply; conditions unspecified,Fees could apply depending on account activity.,0.5,1,0
40,ambiguous,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period.,Customers may qualify for a bonus if they meet unspecified deposit requirements during the promotional period.,bonus eligibility unclear; promotional period,Customers may qualify for a bonus if certain deposit requirements are met within the promotional period. Specific deposit requirements and details about the promotional period are not provided.,0.5,1,0
41,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided.",0.3333333333333333,0,1
42,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided.",0.3333333333333333,0,1
43,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided.",0.3333333333333333,0,1
44,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided.",0.3333333333333333,0,1
45,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided.",0.3333333333333333,0,1
46,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided.",0.3333333333333333,0,1
47,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
48,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
49,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided.",0.3333333333333333,0,1
50,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
51,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided.",0.3333333333333333,0,1
52,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
53,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided.",0.3333333333333333,0,1
54,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration, and any conditions are not provided.",0.3333333333333333,0,1
55,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. No specific APY value, duration, or conditions are provided.",0.3333333333333333,0,1
56,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration of the promotion, and any conditions are not provided.",0.3333333333333333,0,1
57,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
58,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
59,incomplete,The account earns a promotional APY for a limited time.,"The account offers a promotional APY, but the rate and duration are not specified.",promotional APY; missing rate; missing duration,"The account earns a promotional APY for a limited time. Specific details about the APY rate, duration of the promotion, and any conditions are not provided.",0.3333333333333333,0,1
60,incomplete,A fee may be charged for early withdrawal.,"Early withdrawals may incur a fee, but the amount is not specified.",early withdrawal fee; fee amount missing,A fee may be charged for early withdrawal.,0.5,1,0
61,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
62,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
63,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
64,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
65,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
66,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
67,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
68,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
69,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
70,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
71,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
72,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
73,conflicting,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,"Wire transfers are generally processed the same day, except requests submitted after 4:00 PM ET are processed the next business day.",same-day processing; 4:00 PM cutoff,Wire transfers are processed the same day. Requests received after 4:00 PM ET are processed the next business day.,0.0,0,1
74,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
75,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
76,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
77,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
78,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
79,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
80,conflicting,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,The account may charge a $15 monthly maintenance fee if the balance falls below $500 despite stating there is no monthly fee.,$15 fee; below $500 balance; conflicting statements,The account has no monthly maintenance fee. A $15 monthly maintenance fee applies if the balance falls below $500.,0.6666666666666666,1,0
81,jargon,Acct holders must maintain a min DDB of $25000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $25000 to earn the APY.,$25000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $25,000 to earn the disclosed annual percentage yield (APY).",1.0,2,0
82,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
83,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
84,jargon,Acct holders must maintain a min DDB of $25000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $25000 to earn the APY.,$25000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $25,000 to earn the disclosed annual percentage yield (APY).",1.0,2,0
85,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
86,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
87,jargon,Acct holders must maintain a min DDB of $1000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $1000 to earn the APY.,$1000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $1,000 to earn the disclosed annual percentage yield (APY).",1.0,2,0
88,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
89,jargon,Acct holders must maintain a min DDB of $2500 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $2500 to earn the APY.,$2500 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $2,500 to earn the disclosed annual percentage yield (APY).",1.0,2,0
90,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
91,jargon,Acct holders must maintain a min DDB of $10000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $10000 to earn the APY.,$10000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $10,000 to earn the disclosed annual percentage yield (APY).",1.0,2,0
92,jargon,Acct holders must maintain a min DDB of $2500 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $2500 to earn the APY.,$2500 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $2,500 to earn the disclosed annual percentage yield (APY).",1.0,2,0
93,jargon,Acct holders must maintain a min DDB of $10000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $10000 to earn the APY.,$10000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $10,000 to earn the disclosed annual percentage yield (APY).",1.0,2,0
94,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
95,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
96,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
97,jargon,Acct holders must maintain a min DDB of $25000 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $25000 to earn the APY.,$25000 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $25,000 to earn the disclosed annual percentage yield (APY).",1.0,2,0
98,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
99,jargon,Acct holders must maintain a min DDB of $2500 to earn the disclosed APY.,Account holders must maintain a minimum daily balance of $2500 to earn the APY.,$2500 minimum daily balance; APY,"Account holders must maintain a minimum daily balance (DDB) of $2,500 to earn the disclosed annual percentage yield (APY).",1.0,2,0
100,jargon,OD fees apply when the ledger balance falls below zero by more than $50.,Overdraft fees apply when the account balance is overdrawn by more than $50.,overdraft fee; more than $50,OD fees apply when the ledger balance falls below zero by more than $50.,0.5,1,0
101,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 1.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 1.25% APY that may change after account opening and requires a minimum balance of $500. Paper statements cost $3 per month.,1.25% APY; rates may change; $500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 1.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
102,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.75% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 4.75% APY that may change after account opening and requires a minimum balance of $500. Paper statements cost $3 per month.,4.75% APY; rates may change; $500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.75% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
103,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 4.25% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,4.25% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
104,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,4:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
105,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 5.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 5.1% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,5.1% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 5.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
